heart_rate,rmssd,sdnn,emotion
100,30,53,STRESSED
95,13,35,ANXIOUS
105,16,10,ANXIOUS
98,27,26,STRESSED
104,12,10,ANXIOUS
95,13,36,STRESSED
81,52,60,NORMAL
118,12,16,ANXIOUS
95,37,12,STRESSED
101,37,71,NORMAL
71,56,91,CALM
66,73,85,CALM
71,22,61,NORMAL
117,8,16,ANXIOUS
80,22,17,STRESSED
108,11,14,ANXIOUS
100,32,19,STRESSED
72,52,64,CALM
64,64,68,CALM
92,41,58,NORMAL
60,35,82,CALM
89,19,24,ANXIOUS
93,30,17,STRESSED
51,78,48,CALM
116,21,33,STRESSED
62,66,51,CALM
113,16,16,ANXIOUS
77,37,35,NORMAL
110,16,33,ANXIOUS
85,31,45,NORMAL
59,45,43,NORMAL
101,30,30,STRESSED
75,32,42,STRESSED
86,39,42,NORMAL
87,27,35,STRESSED
110,18,15,ANXIOUS
65,66,76,CALM
60,30,11,NORMAL
73,27,51,NORMAL
64,61,68,CALM
95,27,10,STRESSED
109,12,34,ANXIOUS
58,59,66,CALM
62,72,92,CALM
117,22,22,STRESSED
81,36,45,NORMAL
94,35,54,NORMAL
63,50,89,CALM
76,23,19,STRESSED
90,25,35,STRESSED
66,60,74,CALM
82,47,64,NORMAL
97,20,10,ANXIOUS
93,25,51,STRESSED
105,13,10,ANXIOUS
72,70,72,CALM
79,63,38,NORMAL
60,35,32,NORMAL
85,81,54,CALM
97,32,32,STRESSED
85,34,18,STRESSED
67,65,72,CALM
105,15,27,ANXIOUS
68,66,78,CALM
106,26,36,STRESSED
105,23,34,STRESSED
82,43,30,NORMAL
98,21,45,STRESSED
84,14,35,STRESSED
50,46,71,CALM
115,17,23,ANXIOUS
89,36,34,STRESSED
90,32,48,NORMAL
95,34,56,NORMAL
78,40,58,NORMAL
73,65,60,CALM
70,43,51,NORMAL
61,65,69,CALM
63,68,60,CALM
104,15,23,ANXIOUS
54,65,76,CALM
64,68,64,CALM
73,45,33,NORMAL
78,25,31,NORMAL
121,19,33,ANXIOUS
104,19,26,ANXIOUS
81,31,53,NORMAL
104,17,15,ANXIOUS
93,19,42,STRESSED
96,20,24,ANXIOUS
77,15,64,NORMAL
107,26,13,STRESSED
96,61,64,NORMAL
92,14,29,STRESSED
50,48,71,CALM
85,45,36,NORMAL
102,24,47,STRESSED
72,67,66,CALM
65,33,36,NORMAL
88,29,44,STRESSED
118,14,13,ANXIOUS
69,79,57,CALM
110,9,10,ANXIOUS
106,34,36,STRESSED
54,58,52,CALM
101,20,26,STRESSED
68,70,67,CALM
79,31,32,NORMAL
75,37,47,NORMAL
90,9,20,STRESSED
55,46,62,CALM
77,41,71,CALM
103,19,26,ANXIOUS
88,27,44,STRESSED
97,30,40,STRESSED
86,47,38,NORMAL
95,45,43,NORMAL
78,26,54,NORMAL
103,9,54,STRESSED
94,17,31,STRESSED
68,73,79,CALM
101,8,14,ANXIOUS
100,37,67,NORMAL
81,23,53,NORMAL
108,15,34,ANXIOUS
120,5,22,ANXIOUS
75,44,66,NORMAL
59,52,90,CALM
63,75,81,CALM
94,10,23,ANXIOUS
103,24,10,STRESSED
82,34,65,NORMAL
107,25,15,STRESSED
55,55,44,CALM
85,25,41,STRESSED
92,18,20,STRESSED
114,14,38,ANXIOUS
90,28,16,STRESSED
76,52,77,CALM
50,50,70,CALM
124,24,33,ANXIOUS
65,26,63,NORMAL
56,58,57,CALM
101,22,33,STRESSED
98,35,30,STRESSED
105,29,27,STRESSED
76,41,39,NORMAL
107,31,36,STRESSED
65,53,38,NORMAL
85,28,34,STRESSED
81,52,68,NORMAL
76,45,54,NORMAL
80,44,37,NORMAL
130,17,24,ANXIOUS
117,22,22,ANXIOUS
65,54,85,CALM
108,9,22,ANXIOUS
68,37,53,NORMAL
97,37,32,STRESSED
65,50,57,CALM
97,33,36,STRESSED
72,30,43,NORMAL
112,20,10,ANXIOUS
99,24,10,STRESSED
68,60,42,CALM
107,30,41,STRESSED
105,32,10,STRESSED
109,19,14,ANXIOUS
55,63,43,CALM
90,10,30,STRESSED
74,44,45,NORMAL
76,36,35,NORMAL
120,5,22,ANXIOUS
93,28,32,STRESSED
68,51,78,CALM
97,77,67,CALM
105,18,20,ANXIOUS
100,23,25,STRESSED
83,47,66,NORMAL
64,61,46,CALM
75,35,31,NORMAL
116,26,21,STRESSED
103,18,28,STRESSED
86,23,25,STRESSED
91,25,45,STRESSED
67,32,69,NORMAL
101,30,48,STRESSED
126,9,18,ANXIOUS
85,35,78,NORMAL
101,19,25,ANXIOUS
